code_insee|nom|epci|libepci
01001|ABERGEMENT-CLEMENCIAT|200069193|CC de la Dombes
01002|ABERGEMENT-DE-VAREY|240100883|CC de la Plaine de l'Ain
01004|AMBERIEU-EN-BUGEY|240100883|CC de la Plaine de l'Ain
01005|AMBERIEUX-EN-DOMBES|200042497|CC Dombes Saône Vallée
01006|AMBLEON|200040350|CC Bugey Sud
01007|AMBRONAY|240100883|CC de la Plaine de l'Ain
01008|AMBUTRIX|240100883|CC de la Plaine de l'Ain
01009|ANDERT-ET-CONDON|200040350|CC Bugey Sud
01010|ANGLEFORT|200070852|CC Usses et Rhône
01011|APREMONT|200042935|CC Haut - Bugey
01012|ARANC|240100578|CC du Plateau d'Hauteville
01013|ARANDAS|240100883|CC de la Plaine de l'Ain
01014|ARBENT|200042935|CC Haut - Bugey
01015|ARBIGNIEU|200040350|CC Bugey Sud
01016|ARBIGNY|200071371|CC du Pays de Bâgé et de Pont-De-Vaux
01017|ARGIS|240100883|CC de la Plaine de l'Ain
01019|ARMIX|200040350|CC Bugey Sud
01021|ARS-SUR-FORMANS|200042497|CC Dombes Saône Vallée
01022|ARTEMARE|200040350|CC Bugey Sud
01023|ASNIERES-SUR-SAONE|200071371|CC du Pays de Bâgé et de Pont-De-Vaux
01024|ATTIGNAT|200071751|CA du Bassin de Bourg-en-Bresse
01025|BAGE-LA-VILLE|200071371|CC du Pays de Bâgé et de Pont-De-Vaux
01026|BAGE-LE-CHATEL|200071371|CC du Pays de Bâgé et de Pont-De-Vaux
01027|BALAN|240100610|CC de la Côtière à Montluel
01028|BANEINS|200069193|CC de la Dombes
01029|BEAUPONT|200071751|CA du Bassin de Bourg-en-Bresse
01030|BEAUREGARD|200042497|CC Dombes Saône Vallée
01031|BELLIGNAT|200042935|CC Haut - Bugey
01032|BELIGNEUX|240100610|CC de la Côtière à Montluel
01033|BELLEGARDE-SUR-VALSERINE|240100891|CC du Pays Bellegardien (Ccpb)
01034|BELLEY|200040350|CC Bugey Sud
01035|BELLEYDOUX|200042935|CC Haut - Bugey
01036|BELMONT-LUTHEZIEU|200040350|CC Bugey Sud
01037|BENONCES|240100883|CC de la Plaine de l'Ain
01038|BENY|200071751|CA du Bassin de Bourg-en-Bresse
01039|BEON|200040350|CC Bugey Sud
01040|BEREZIAT|200071751|CA du Bassin de Bourg-en-Bresse
01041|BETTANT|240100883|CC de la Plaine de l'Ain
01042|BEY|200070555|CC de la Veyle
01043|BEYNOST|240100800|CC de Miribel et du Plateau
01044|BILLIAT|240100891|CC du Pays Bellegardien (Ccpb)
01045|BIRIEUX|200069193|CC de la Dombes
01046|BIZIAT|200070555|CC de la Veyle
01047|BLYES|240100883|CC de la Plaine de l'Ain
01049|BOISSE|240100610|CC de la Côtière à Montluel
01050|BOISSEY|200071371|CC du Pays de Bâgé et de Pont-De-Vaux
01051|BOLOZON|200042935|CC Haut - Bugey
01052|BOULIGNEUX|200069193|CC de la Dombes
01053|BOURG-EN-BRESSE|200071751|CA du Bassin de Bourg-en-Bresse
01054|BOURG-SAINT-CHRISTOPHE|240100883|CC de la Plaine de l'Ain
01056|BOYEUX-SAINT-JEROME|200029999|CC Rives de l'Ain - Pays du Cerdon
01057|BOZ|200071371|CC du Pays de Bâgé et de Pont-De-Vaux
01058|BREGNIER-CORDON|200040350|CC Bugey Sud
01059|BRENAZ|200040350|CC Bugey Sud
01060|BRENOD|200042935|CC Haut - Bugey
01061|BRENS|200040350|CC Bugey Sud
01062|BRESSOLLES|240100610|CC de la Côtière à Montluel
01063|BRION|200042935|CC Haut - Bugey
01064|BRIORD|240100883|CC de la Plaine de l'Ain
01065|BUELLAS|200071751|CA du Bassin de Bourg-en-Bresse
01066|BURBANCHE|200040350|CC Bugey Sud
01067|CEIGNES|200042935|CC Haut - Bugey
01068|CERDON|200029999|CC Rives de l'Ain - Pays du Cerdon
01069|CERTINES|200071751|CA du Bassin de Bourg-en-Bresse
01071|CESSY|240100750|CC du Pays de Gex
01072|CEYZERIAT|200071751|CA du Bassin de Bourg-en-Bresse
01073|CEYZERIEU|200040350|CC Bugey Sud
01074|CHALAMONT|200069193|CC de la Dombes
01075|CHALEINS|200070118|CC Val de Saône Centre
01076|CHALEY|240100883|CC de la Plaine de l'Ain
01077|CHALLES-LA-MONTAGNE|200029999|CC Rives de l'Ain - Pays du Cerdon
01078|CHALLEX|240100750|CC du Pays de Gex
01079|CHAMPAGNE-EN-VALROMEY|200040350|CC Bugey Sud
01080|CHAMPDOR|240100578|CC du Plateau d'Hauteville
01081|CHAMPFROMIER|240100891|CC du Pays Bellegardien (Ccpb)
01082|CHANAY|240100891|CC du Pays Bellegardien (Ccpb)
01083|CHANEINS|200069193|CC de la Dombes
01084|CHANOZ-CHATENAY|200070555|CC de la Veyle
01085|CHAPELLE-DU-CHATELARD|200069193|CC de la Dombes
01087|CHARIX|200042935|CC Haut - Bugey
01088|CHARNOZ-SUR-AIN|240100883|CC de la Plaine de l'Ain
01089|CHATEAU-GAILLARD|240100883|CC de la Plaine de l'Ain
01090|CHATENAY|200069193|CC de la Dombes
01091|CHATILLON-EN-MICHAILLE|240100891|CC du Pays Bellegardien (Ccpb)
01092|CHATILLON-LA-PALUD|200069193|CC de la Dombes
01093|CHATILLON-SUR-CHALARONNE|200069193|CC de la Dombes
01094|CHAVANNES-SUR-REYSSOUZE|200071371|CC du Pays de Bâgé et de Pont-De-Vaux
01095|CHAVANNES-SUR-SURAN|200071751|CA du Bassin de Bourg-en-Bresse
01096|CHAVEYRIAT|200070555|CC de la Veyle
01097|CHAVORNAY|200040350|CC Bugey Sud
01098|CHAZEY-BONS|200040350|CC Bugey Sud
01099|CHAZEY-SUR-AIN|240100883|CC de la Plaine de l'Ain
01100|CHEIGNIEU-LA-BALME|200040350|CC Bugey Sud
01101|CHEVILLARD|200042935|CC Haut - Bugey
01102|CHEVROUX|200071371|CC du Pays de Bâgé et de Pont-De-Vaux
01103|CHEVRY|240100750|CC du Pays de Gex
01104|CHEZERY-FORENS|240100750|CC du Pays de Gex
01105|CIVRIEUX|200042497|CC Dombes Saône Vallée
01106|CIZE|200071751|CA du Bassin de Bourg-en-Bresse
01107|CLEYZIEU|240100883|CC de la Plaine de l'Ain
01108|COLIGNY|200071751|CA du Bassin de Bourg-en-Bresse
01109|COLLONGES|240100750|CC du Pays de Gex
01110|COLOMIEU|200040350|CC Bugey Sud
01111|CONAND|240100883|CC de la Plaine de l'Ain
01112|CONDAMINE|200042935|CC Haut - Bugey
01113|CONDEISSIAT|200069193|CC de la Dombes
01114|CONFORT|240100891|CC du Pays Bellegardien (Ccpb)
01115|CONFRANCON|200071751|CA du Bassin de Bourg-en-Bresse
01116|CONTREVOZ|200040350|CC Bugey Sud
01117|CONZIEU|200040350|CC Bugey Sud
01118|CORBONOD|200070852|CC Usses et Rhône
01119|CORCELLES|240100578|CC du Plateau d'Hauteville
01121|CORLIER|240100578|CC du Plateau d'Hauteville
01122|CORMARANCHE-EN-BUGEY|240100578|CC du Plateau d'Hauteville
01123|CORMORANCHE-SUR-SAONE|200070555|CC de la Veyle
01124|CORMOZ|200071751|CA du Bassin de Bourg-en-Bresse
