CODGEO;LIBGEO;EPCI;LIBEPCI
01001;L'Abergement-Clémenciat;200035210;CC Chalaronne Centre
01002;L'Abergement-de-Varey;240100883;CC de la Plaine de l'Ain
01004;Ambérieu-en-Bugey;240100883;CC de la Plaine de l'Ain
01005;Ambérieux-en-Dombes;200042497;CC Dombes Saône Vallée
01006;Ambléon;200040350;CC Bugey Sud
01007;Ambronay;240100883;CC de la Plaine de l'Ain
01008;Ambutrix;240100883;CC de la Plaine de l'Ain
01009;Andert-et-Condon;200040350;CC Bugey Sud
01010;Anglefort;247400823;CC du Pays de Seyssel
01011;Apremont;200042935;CC Haut - Bugey
01012;Aranc;240100578;CC du Plateau d'hauteville
01013;Arandas;240100396;CC de la Vallée de l'Albarine
01014;Arbent;200042935;CC Haut - Bugey
01015;Arbignieu;200040350;CC Bugey Sud
01016;Arbigny;240100685;CC du Canton de Pont de Vaux
01017;Argis;240100396;CC de la Vallée de l'Albarine
01019;Armix;200040350;CC Bugey Sud
01021;Ars-sur-Formans;200042497;CC Dombes Saône Vallée
01022;Artemare;200040350;CC Bugey Sud
01023;Asnières-sur-Saône;240100818;CC du Pays de Bâgé
01024;Attignat;240100156;CC de Montrevel - en - Bresse
01025;Bâgé-la-Ville;240100818;CC du Pays de Bâgé
01026;Bâgé-le-Châtel;240100818;CC du Pays de Bâgé
01027;Balan;240100610;CC du Canton de Montluel
01028;Baneins;200035210;CC Chalaronne Centre
01029;Beaupont;240100651;CC du Canton de Coligny
01030;Beauregard;200042497;CC Dombes Saône Vallée
01031;Bellignat;200042935;CC Haut - Bugey
01032;Béligneux;240100610;CC du Canton de Montluel
01033;Bellegarde-sur-Valserine;240100891;CC du Pays Bellegardien (Ccpb)
01034;Belley;200040350;CC Bugey Sud
01035;Belleydoux;200042935;CC Haut - Bugey
01036;Belmont-Luthézieu;240100370;CC du Valromey
01037;Bénonces;240100412;CC Rhône - Chartreuse de Portes
01038;Bény;240100651;CC du Canton de Coligny
01039;Béon;200040350;CC Bugey Sud
01040;Béréziat;240100156;CC de Montrevel - en - Bresse
01041;Bettant;240100883;CC de la Plaine de l'Ain
01042;Bey;240100826;CC du Canton de Pont de Veyle
01043;Beynost;240100800;CC de Miribel et du Plateau
01044;Billiat;240100891;CC du Pays Bellegardien (Ccpb)
01045;Birieux;240100875;CC Centre Dombes
01046;Biziat;240100669;CC des Bords de Veyle
01047;Blyes;240100883;CC de la Plaine de l'Ain
01049;La Boisse;240100610;CC du Canton de Montluel
01050;Boissey;240100685;CC du Canton de Pont de Vaux
01051;Bolozon;200042935;CC Haut - Bugey
01052;Bouligneux;240100875;CC Centre Dombes
01053;Bourg-en-Bresse;240100628;CA Bourg en Bresse Agglomération
01054;Bourg-Saint-Christophe;240100883;CC de la Plaine de l'Ain
01056;Boyeux-Saint-Jérôme;200029999;CC Rives de l'Ain - Pays du Cerdon
01057;Boz;240100685;CC du Canton de Pont de Vaux
01058;Brégnier-Cordon;200040350;CC Bugey Sud
01059;Brénaz;240100370;CC du Valromey
01060;Brénod;200042935;CC Haut - Bugey
01061;Brens;200040350;CC Bugey Sud
01062;Bressolles;240100610;CC du Canton de Montluel
01063;Brion;200042935;CC Haut - Bugey
01064;Briord;240100412;CC Rhône - Chartreuse de Portes
01065;Buellas;240100628;CA Bourg en Bresse Agglomération
01066;La Burbanche;200040350;CC Bugey Sud
01067;Ceignes;200042935;CC Haut - Bugey
